0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:51:20 +0900] "GET /food_v1/test.css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Mar/2021:21:51:20 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:25 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:25 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:25 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:25 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:46 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:47 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:47 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:47 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:50 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:51 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:51 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:36:51 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:04 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:04 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:04 +0900] "GET /food_v1/test.css HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:04 +0900] "GET /food_v1/jscript/mainScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:05 +0900] "GET /food_v1/Test.jsp HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:05 +0900] "GET /food_v1/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:22:37:05 +0900] "GET /food_v1/test.css HTTP/1.1" 304 -
